,Metabolism,Value,SampleID,Plate
D_glucosaminic_acid,carboxylic_acid,2.4068,1,12
Glucose_1_phosphate,phosphorylated,2.3376,1,12
D_L_alpha_glycerol_phospate,phosphorylated,2.1958,1,12
D_galactonic_acid_gama_lactone,carboxylic_acid,1.9309,1,12
D_galactouronic_acid,carboxylic_acid,2.0827,1,12
two_hydroxy_benzoic_Acid,carboxylic_acid,2.3496,1,12
four_hydroxy_benzoic_Acid,carboxylic_acid,1.9157,1,12
Gamma_hydroxybutyric_Acid,carboxylic_acid,1.9936,1,12
Itaconic_Acid,carboxylic_acid,2.0439,1,12
alpha_keto_butyric_acid,carboxylic_acid,1.8234,1,12
D_malic_Acid,carboxylic_acid,1.8045,1,12
L_Arginine,aminoacid,2.1452,1,12
L_Asparagine,aminoacid,1.9133,1,12
L_phenylalanine,aminoacid,1.7407,1,12
L_serine,aminoacid,2.5012,1,12
L_threonine,aminoacid,2.2624,1,12
Glycyl_L_glutamic_Acid,aminoacid,1.9014,1,12
Phenylethyl_amine,amine,1.7391,1,12
Putrescine,amine,2.1343,1,12
Water,control,1.1731,2,12
Pyruvic_acid_methyl_esther,ester,1.7197,2,12
Tween40,polymer,1.8502,2,12
Tween80,polymer,2.0988,2,12
alpha_cyclodextrin,polymer,1.8271,2,12
Glycogen,polymer,2.1771,2,12
D_cellobiose,carbohydrate,1.9997,2,12
alfa_D_Lactose,carbohydrate,2.1494,2,12
Beta_methyl_D_glucoside,carbohydrate,1.8358,2,12
D_xylose,carbohydrate,1.6563,2,12
I_Erytritol,carbohydrate,1.0347,2,12
D_Mannitol,carbohydrate,1.8626,2,12
N_acetyl_D_glucosamine,carbohydrate,1.806,2,12
D_glucosaminic_acid,carboxylic_acid,2.2608,2,12
Glucose_1_phosphate,phosphorylated,2.3873,2,12
D_L_alpha_glycerol_phospate,phosphorylated,2.2132,2,12
D_galactonic_acid_gama_lactone,carboxylic_acid,2.0996,2,12
D_galactouronic_acid,carboxylic_acid,1.9727,2,12
two_hydroxy_benzoic_Acid,carboxylic_acid,2.3848,2,12
four_hydroxy_benzoic_Acid,carboxylic_acid,1.8142,2,12
Gamma_hydroxybutyric_Acid,carboxylic_acid,2.0004,2,12
Itaconic_Acid,carboxylic_acid,1.8958,2,12
alpha_keto_butyric_acid,carboxylic_acid,2.4195,2,12
D_malic_Acid,carboxylic_acid,1.735,2,12
L_Arginine,aminoacid,2.0403,2,12
L_Asparagine,aminoacid,1.5743,2,12
L_phenylalanine,aminoacid,1.6537,2,12
L_serine,aminoacid,2.375,2,12
L_threonine,aminoacid,1.9746,2,12
Glycyl_L_glutamic_Acid,aminoacid,1.5493,2,12
Phenylethyl_amine,amine,1.8846,2,12
Putrescine,amine,2.1707,2,12
Water,control,1.9775,3,12
Pyruvic_acid_methyl_esther,ester,1.9919,3,12
Tween40,polymer,2.2492,3,12
Tween80,polymer,2.4182,3,12
alpha_cyclodextrin,polymer,2.0178,3,12
Glycogen,polymer,2.36,3,12
D_cellobiose,carbohydrate,2.2685,3,12
alfa_D_Lactose,carbohydrate,2.3629,3,12
Beta_methyl_D_glucoside,carbohydrate,2.1616,3,12
D_xylose,carbohydrate,2.0228,3,12
I_Erytritol,carbohydrate,2.1263,3,12
D_Mannitol,carbohydrate,2.2507,3,12
N_acetyl_D_glucosamine,carbohydrate,2.1390000000000002,3,12
D_glucosaminic_acid,carboxylic_acid,2.6,3,12
Glucose_1_phosphate,phosphorylated,2.4563,3,12
D_L_alpha_glycerol_phospate,phosphorylated,2.1295,3,12
D_galactonic_acid_gama_lactone,carboxylic_acid,2.5698,3,12
D_galactouronic_acid,carboxylic_acid,2.2106,3,12
two_hydroxy_benzoic_Acid,carboxylic_acid,2.4732,3,12
four_hydroxy_benzoic_Acid,carboxylic_acid,2.4007,3,12
Gamma_hydroxybutyric_Acid,carboxylic_acid,2.2714,3,12
Itaconic_Acid,carboxylic_acid,2.2515,3,12
alpha_keto_butyric_acid,carboxylic_acid,2.4471,3,12
D_malic_Acid,carboxylic_acid,1.9929,3,12
L_Arginine,aminoacid,2.2472,3,12
L_Asparagine,aminoacid,2.0618,3,12
L_phenylalanine,aminoacid,2.0784,3,12
L_serine,aminoacid,2.3226,3,12
L_threonine,aminoacid,2.3683,3,12
Glycyl_L_glutamic_Acid,aminoacid,2.0029,3,12
Phenylethyl_amine,amine,2.1002,3,12
Putrescine,amine,2.2214,3,12
Water,control,1.5738,1,13
Pyruvic_acid_methyl_esther,ester,1.9928,1,13
Tween40,polymer,2.0727,1,13
Tween80,polymer,2.1491,1,13
alpha_cyclodextrin,polymer,2.005,1,13
Glycogen,polymer,2.2849,1,13
D_cellobiose,carbohydrate,2.1082,1,13
alfa_D_Lactose,carbohydrate,2.2968,1,13
Beta_methyl_D_glucoside,carbohydrate,1.9059,1,13
D_xylose,carbohydrate,1.8107,1,13
I_Erytritol,carbohydrate,1.3956,1,13
D_Mannitol,carbohydrate,2.1037,1,13
N_acetyl_D_glucosamine,carbohydrate,1.8713,1,13
D_glucosaminic_acid,carboxylic_acid,2.2761,1,13
Glucose_1_phosphate,phosphorylated,2.3151,1,13
D_L_alpha_glycerol_phospate,phosphorylated,2.1505,1,13
D_galactonic_acid_gama_lactone,carboxylic_acid,2.3224,1,13
D_galactouronic_acid,carboxylic_acid,2.1243,1,13
two_hydroxy_benzoic_Acid,carboxylic_acid,2.1862,1,13
four_hydroxy_benzoic_Acid,carboxylic_acid,2.1761,1,13
Gamma_hydroxybutyric_Acid,carboxylic_acid,1.9844,1,13
Itaconic_Acid,carboxylic_acid,2.2053,1,13
alpha_keto_butyric_acid,carboxylic_acid,2.4188,1,13
D_malic_Acid,carboxylic_acid,1.4340000000000002,1,13
L_Arginine,aminoacid,2.1835,1,13
L_Asparagine,aminoacid,1.8758,1,13
L_phenylalanine,aminoacid,1.4083,1,13
L_serine,aminoacid,2.4802,1,13
L_threonine,aminoacid,2.3083,1,13
Glycyl_L_glutamic_Acid,aminoacid,1.8956,1,13
Phenylethyl_amine,amine,2.2093,1,13
Putrescine,amine,2.1646,1,13
Water,control,1.5449,2,13
Pyruvic_acid_methyl_esther,ester,1.9877,2,13
Tween40,polymer,1.9796,2,13
Tween80,polymer,2.1371,2,13
alpha_cyclodextrin,polymer,1.8881,2,13
Glycogen,polymer,2.3154,2,13
D_cellobiose,carbohydrate,2.0703,2,13
alfa_D_Lactose,carbohydrate,2.1337,2,13
Beta_methyl_D_glucoside,carbohydrate,1.854,2,13
D_xylose,carbohydrate,1.8228,2,13
I_Erytritol,carbohydrate,1.0686,2,13
D_Mannitol,carbohydrate,1.8821,2,13
N_acetyl_D_glucosamine,carbohydrate,1.7976,2,13
D_glucosaminic_acid,carboxylic_acid,2.4225,2,13
Glucose_1_phosphate,phosphorylated,2.2698,2,13
D_L_alpha_glycerol_phospate,phosphorylated,2.1229,2,13
D_galactonic_acid_gama_lactone,carboxylic_acid,2.1898,2,13
D_galactouronic_acid,carboxylic_acid,2.1077,2,13
two_hydroxy_benzoic_Acid,carboxylic_acid,2.3080000000000003,2,13
four_hydroxy_benzoic_Acid,carboxylic_acid,1.9397,2,13
Gamma_hydroxybutyric_Acid,carboxylic_acid,1.9995,2,13
Itaconic_Acid,carboxylic_acid,2.206,2,13
alpha_keto_butyric_acid,carboxylic_acid,2.2223,2,13
D_malic_Acid,carboxylic_acid,1.834,2,13
L_Arginine,aminoacid,2.2198,2,13
L_Asparagine,aminoacid,1.8282,2,13
L_phenylalanine,aminoacid,1.7585,2,13
L_serine,aminoacid,2.2434,2,13
L_threonine,aminoacid,2.303,2,13
Glycyl_L_glutamic_Acid,aminoacid,1.7423,2,13
Phenylethyl_amine,amine,1.9601,2,13
Putrescine,amine,2.1559,2,13
Water,control,1.5143,3,13
Pyruvic_acid_methyl_esther,ester,2.0422,3,13
Tween40,polymer,2.0502,3,13
Tween80,polymer,2.2683,3,13
alpha_cyclodextrin,polymer,1.9352,3,13
Glycogen,polymer,2.3448,3,13
D_cellobiose,carbohydrate,2.0558,3,13
alfa_D_Lactose,carbohydrate,2.0348,3,13
Beta_methyl_D_glucoside,carbohydrate,1.9114,3,13
D_xylose,carbohydrate,1.7269999999999999,3,13
I_Erytritol,carbohydrate,1.0793,3,13
D_Mannitol,carbohydrate,1.9704,3,13
N_acetyl_D_glucosamine,carbohydrate,1.7778,3,13
D_glucosaminic_acid,carboxylic_acid,2.3797,3,13
Glucose_1_phosphate,phosphorylated,2.3311,3,13
D_L_alpha_glycerol_phospate,phosphorylated,2.0714,3,13
D_galactonic_acid_gama_lactone,carboxylic_acid,2.1529,3,13
D_galactouronic_acid,carboxylic_acid,2.2459,3,13
two_hydroxy_benzoic_Acid,carboxylic_acid,2.301,3,13
four_hydroxy_benzoic_Acid,carboxylic_acid,1.7638,3,13
Gamma_hydroxybutyric_Acid,carboxylic_acid,2.112,3,13
Itaconic_Acid,carboxylic_acid,2.1607,3,13
alpha_keto_butyric_acid,carboxylic_acid,1.9262,3,13
D_malic_Acid,carboxylic_acid,1.8675,3,13
L_Arginine,aminoacid,2.1972,3,13
L_Asparagine,aminoacid,1.8173,3,13
L_phenylalanine,aminoacid,1.7997,3,13
L_serine,aminoacid,2.2545,3,13
L_threonine,aminoacid,2.2832,3,13
Glycyl_L_glutamic_Acid,aminoacid,1.7718,3,13
Phenylethyl_amine,amine,1.9703,3,13
Putrescine,amine,2.234,3,13
Water,control,1.3793,1,14
Pyruvic_acid_methyl_esther,ester,1.9934,1,14
Tween40,polymer,2.0125,1,14
Tween80,polymer,2.0243,1,14
alpha_cyclodextrin,polymer,1.952,1,14
Glycogen,polymer,2.2564,1,14
D_cellobiose,carbohydrate,1.9657,1,14
alfa_D_Lactose,carbohydrate,2.116,1,14
Beta_methyl_D_glucoside,carbohydrate,1.8916,1,14
D_xylose,carbohydrate,1.6402,1,14
I_Erytritol,carbohydrate,1.1985,1,14
D_Mannitol,carbohydrate,2.0112,1,14
N_acetyl_D_glucosamine,carbohydrate,1.7767,1,14
D_glucosaminic_acid,carboxylic_acid,2.4213,1,14
Glucose_1_phosphate,phosphorylated,2.2026,1,14
D_L_alpha_glycerol_phospate,phosphorylated,2.0824,1,14
D_galactonic_acid_gama_lactone,carboxylic_acid,2.0934,1,14
D_galactouronic_acid,carboxylic_acid,2.03,1,14
two_hydroxy_benzoic_Acid,carboxylic_acid,2.231,1,14
four_hydroxy_benzoic_Acid,carboxylic_acid,1.8555,1,14
Gamma_hydroxybutyric_Acid,carboxylic_acid,2.0421,1,14
Itaconic_Acid,carboxylic_acid,2.0337,1,14
alpha_keto_butyric_acid,carboxylic_acid,2.1875,1,14
D_malic_Acid,carboxylic_acid,1.8443,1,14
L_Arginine,aminoacid,2.1226,1,14
L_Asparagine,aminoacid,1.8916,1,14
L_phenylalanine,aminoacid,1.8071,1,14
L_serine,aminoacid,2.1553,1,14
L_threonine,aminoacid,2.1821,1,14
Glycyl_L_glutamic_Acid,aminoacid,1.9056,1,14
Phenylethyl_amine,amine,1.9319,1,14
Putrescine,amine,2.0583,1,14
Water,control,1.5619,2,14
Pyruvic_acid_methyl_esther,ester,1.817,2,14
Tween40,polymer,2.0646,2,14
Tween80,polymer,2.3843,2,14
alpha_cyclodextrin,polymer,1.994,2,14
Glycogen,polymer,2.45,2,14
D_cellobiose,carbohydrate,2.1212,2,14
alfa_D_Lactose,carbohydrate,2.4393,2,14
Beta_methyl_D_glucoside,carbohydrate,1.9904,2,14
D_xylose,carbohydrate,1.8497,2,14
I_Erytritol,carbohydrate,1.7945,2,14
D_Mannitol,carbohydrate,2.0737,2,14
N_acetyl_D_glucosamine,carbohydrate,2.1199,2,14
D_glucosaminic_acid,carboxylic_acid,2.4482,2,14
Glucose_1_phosphate,phosphorylated,2.3705,2,14
D_L_alpha_glycerol_phospate,phosphorylated,2.1407,2,14
D_galactonic_acid_gama_lactone,carboxylic_acid,2.4396,2,14
D_galactouronic_acid,carboxylic_acid,2.186,2,14
two_hydroxy_benzoic_Acid,carboxylic_acid,2.5263,2,14
four_hydroxy_benzoic_Acid,carboxylic_acid,1.7419,2,14
Gamma_hydroxybutyric_Acid,carboxylic_acid,1.794,2,14
Itaconic_Acid,carboxylic_acid,1.8486,2,14
alpha_keto_butyric_acid,carboxylic_acid,1.9613,2,14
D_malic_Acid,carboxylic_acid,1.7902,2,14
L_Arginine,aminoacid,2.3278,2,14
L_Asparagine,aminoacid,1.8591,2,14
L_phenylalanine,aminoacid,1.8233,2,14
L_serine,aminoacid,2.4634,2,14
L_threonine,aminoacid,2.2705,2,14
Glycyl_L_glutamic_Acid,aminoacid,1.8194,2,14
Phenylethyl_amine,amine,2.1301,2,14
Putrescine,amine,2.3339,2,14
Water,control,0.7636,3,14
Pyruvic_acid_methyl_esther,ester,1.8214,3,14
Tween40,polymer,1.8669,3,14
Tween80,polymer,1.8399,3,14
alpha_cyclodextrin,polymer,2.0046,3,14
Glycogen,polymer,2.1745,3,14
D_cellobiose,carbohydrate,1.9333,3,14
alfa_D_Lactose,carbohydrate,1.9755,3,14
Beta_methyl_D_glucoside,carbohydrate,1.7721,3,14
D_xylose,carbohydrate,1.119,3,14
I_Erytritol,carbohydrate,1.1107,3,14
D_Mannitol,carbohydrate,2.0012,3,14
N_acetyl_D_glucosamine,carbohydrate,1.7704,3,14
D_glucosaminic_acid,carboxylic_acid,2.0117,3,14
Glucose_1_phosphate,phosphorylated,2.2017,3,14
D_L_alpha_glycerol_phospate,phosphorylated,1.8824,3,14
D_galactonic_acid_gama_lactone,carboxylic_acid,2.2517,3,14
D_galactouronic_acid,carboxylic_acid,1.9636,3,14
two_hydroxy_benzoic_Acid,carboxylic_acid,2.0756,3,14
four_hydroxy_benzoic_Acid,carboxylic_acid,1.5932,3,14
Gamma_hydroxybutyric_Acid,carboxylic_acid,2.0873,3,14
Itaconic_Acid,carboxylic_acid,1.9606,3,14
alpha_keto_butyric_acid,carboxylic_acid,2.2981,3,14
D_malic_Acid,carboxylic_acid,1.6282,3,14
L_Arginine,aminoacid,1.8845,3,14
L_Asparagine,aminoacid,1.624,3,14
L_phenylalanine,aminoacid,1.2697,3,14
L_serine,aminoacid,2.2456,3,14
L_threonine,aminoacid,2.0077,3,14
Glycyl_L_glutamic_Acid,aminoacid,1.2699,3,14
Phenylethyl_amine,amine,1.9604,3,14
Putrescine,amine,1.9218,3,14
Water,control,1.2144,1,15
Pyruvic_acid_methyl_esther,ester,1.9394,1,15
Tween40,polymer,1.9054,1,15
Tween80,polymer,2.1096,1,15
alpha_cyclodextrin,polymer,1.8992,1,15
Glycogen,polymer,2.2191,1,15
D_cellobiose,carbohydrate,1.9441,1,15
alfa_D_Lactose,carbohydrate,2.2295,1,15
Beta_methyl_D_glucoside,carbohydrate,1.807,1,15
D_xylose,carbohydrate,1.6452,1,15
I_Erytritol,carbohydrate,0.7429,1,15
D_Mannitol,carbohydrate,1.8838,1,15
N_acetyl_D_glucosamine,carbohydrate,1.7192,1,15
D_glucosaminic_acid,carboxylic_acid,2.2265,1,15
Glucose_1_phosphate,phosphorylated,2.2868,1,15
D_L_alpha_glycerol_phospate,phosphorylated,2.1014,1,15
D_galactonic_acid_gama_lactone,carboxylic_acid,1.7644,1,15
D_galactouronic_acid,carboxylic_acid,2.0208,1,15
two_hydroxy_benzoic_Acid,carboxylic_acid,2.263,1,15
four_hydroxy_benzoic_Acid,carboxylic_acid,1.8242,1,15
Gamma_hydroxybutyric_Acid,carboxylic_acid,2.0157,1,15
Itaconic_Acid,carboxylic_acid,2.0443,1,15
alpha_keto_butyric_acid,carboxylic_acid,2.2409,1,15
D_malic_Acid,carboxylic_acid,1.6035,1,15
L_Arginine,aminoacid,1.9903,1,15
L_Asparagine,aminoacid,1.8224,1,15
L_phenylalanine,aminoacid,1.6794,1,15
L_serine,aminoacid,2.3124,1,15
L_threonine,aminoacid,2.0488,1,15
Glycyl_L_glutamic_Acid,aminoacid,1.7854,1,15
Phenylethyl_amine,amine,2.0813,1,15
Putrescine,amine,2.1172,1,15
Water,control,1.4788,2,15
Pyruvic_acid_methyl_esther,ester,1.9342,2,15
Tween40,polymer,1.9808,2,15
Tween80,polymer,2.2722,2,15
alpha_cyclodextrin,polymer,1.9909,2,15
Glycogen,polymer,2.3161,2,15
D_cellobiose,carbohydrate,2.1365,2,15
alfa_D_Lactose,carbohydrate,2.2324,2,15
Beta_methyl_D_glucoside,carbohydrate,1.8188,2,15
D_xylose,carbohydrate,1.9223,2,15
I_Erytritol,carbohydrate,1.2823,2,15
D_Mannitol,carbohydrate,1.837,2,15
N_acetyl_D_glucosamine,carbohydrate,1.8162,2,15
D_glucosaminic_acid,carboxylic_acid,2.3426,2,15
Glucose_1_phosphate,phosphorylated,2.2399,2,15
D_L_alpha_glycerol_phospate,phosphorylated,2.0981,2,15
D_galactonic_acid_gama_lactone,carboxylic_acid,1.8363,2,15
D_galactouronic_acid,carboxylic_acid,2.1453,2,15
two_hydroxy_benzoic_Acid,carboxylic_acid,2.3889,2,15
four_hydroxy_benzoic_Acid,carboxylic_acid,1.8043,2,15
Gamma_hydroxybutyric_Acid,carboxylic_acid,1.9255,2,15
Itaconic_Acid,carboxylic_acid,2.1291,2,15
alpha_keto_butyric_acid,carboxylic_acid,2.4942,2,15
D_malic_Acid,carboxylic_acid,1.9081,2,15
L_Arginine,aminoacid,2.1702,2,15
L_Asparagine,aminoacid,1.7830000000000001,2,15
L_phenylalanine,aminoacid,1.8344,2,15
L_serine,aminoacid,2.3272,2,15
L_threonine,aminoacid,2.2127,2,15
Glycyl_L_glutamic_Acid,aminoacid,1.8134,2,15
Phenylethyl_amine,amine,2.1174,2,15
Putrescine,amine,2.124,2,15
Water,control,0.0574,3,15
Pyruvic_acid_methyl_esther,ester,0.055,3,15
Tween40,polymer,0.0532,3,15
Tween80,polymer,0.0506,3,15
alpha_cyclodextrin,polymer,0.066,3,15
Glycogen,polymer,0.0552,3,15
D_cellobiose,carbohydrate,0.0541,3,15
alfa_D_Lactose,carbohydrate,0.0531,3,15
Beta_methyl_D_glucoside,carbohydrate,0.0488,3,15
D_xylose,carbohydrate,0.0575,3,15
I_Erytritol,carbohydrate,0.0689,3,15
D_Mannitol,carbohydrate,0.0541,3,15
N_acetyl_D_glucosamine,carbohydrate,0.0628,3,15
D_glucosaminic_acid,carboxylic_acid,0.0593,3,15
Glucose_1_phosphate,phosphorylated,0.1509,3,15
D_L_alpha_glycerol_phospate,phosphorylated,0.0529,3,15
D_galactonic_acid_gama_lactone,carboxylic_acid,0.0507,3,15
D_galactouronic_acid,carboxylic_acid,0.0597,3,15
two_hydroxy_benzoic_Acid,carboxylic_acid,0.0516,3,15
four_hydroxy_benzoic_Acid,carboxylic_acid,0.0617,3,15
Gamma_hydroxybutyric_Acid,carboxylic_acid,0.0475,3,15
Itaconic_Acid,carboxylic_acid,0.0559,3,15
alpha_keto_butyric_acid,carboxylic_acid,0.0545,3,15
D_malic_Acid,carboxylic_acid,0.0536,3,15
L_Arginine,aminoacid,0.057,3,15
L_Asparagine,aminoacid,0.054000000000000006,3,15
L_phenylalanine,aminoacid,0.0536,3,15
L_serine,aminoacid,0.0532,3,15
L_threonine,aminoacid,0.0541,3,15
Glycyl_L_glutamic_Acid,aminoacid,0.0546,3,15
Phenylethyl_amine,amine,0.0535,3,15
Putrescine,amine,0.0553,3,15
